date,title,description,location
06-18-2022,CIA LUCES ESCOBEDO,LOS MAÑAS20:30 BASTIDAKO PLAZAN,LaBastida
06-25-2022,MALAS COMPAÑÍAS,ZIRKUS20:30 BASTIDAKO PLAZAN,LaBastida
07-02-2022,GOITIBERA,YIJAAA!!20:30 BASTIDAKO PLAZAN,LaBastida
07-09-2022,AUREKAN,HURRENGO GELTOKIA20:30 BASTIDAKO PLAZAN,LaBastida
07-16-2022,ANNA CONFETTI,A LA FRESCA20:30 BASTIDAKO PLAZAN,LaBastida
07-23-2022,UT-KONTZERTUA,70. ETA 80. HAMARKADETAKO EUSKAL KANTUAK21:00 BASTIDAKO PLAZAN,LaBastida
08-03-2022,LA INDUSTRIAL TEATRERA,HERENCIA20:30 BASTIDAKO PLAZAN,LaBastida
08-08-2022,GANSO & CIA,PANOLI KABARETA18:30 IRAKASLEEN PLAZA,LaBastida
08-12-2022,EIDABE,GORA BIHOTZAK!20:30 BASTIDAKO PLAZAN,LaBastida
08-15-2022,WILBUR,PIENSA EN WILBUR20:30 BASTIDAKO PLAZAN,LaBastida
09-10-2022,DANTZAZ,MENU20:00 IBILTARIA,LaBastida
08-04-2022,"ABUZTUAK 4, OSTEGUNA - JUEVES, 4 DE AGOSTO",20.00- Open eta Emakumezkoen Frontenis finalak.Frontoi zaharra.20:00- Finales de Frontenis femenino y Open.Frontón viejo.,LaBastida
08-05-2022,"ABUZTUAK 5, OSTIRALA - VIERNES, 5 DE AGOSTO","19:00etatik 21:30era- Udako areto-futbol txapelketen finalak (18 urtez azpikoak eta helduak). / 19:00 a 21.30- Finales de Torneos de Fútbol-Sala de Verano (sub 18 y adultos).20:00- Errekortariak zezen-plazan – Kanogal eremuan / 20:00- Recortadores en la Plaza de toros- zona Kanogal-.00:00- Plaza, musika-emanaldia “GREMIOKO ARTISTAK” / 00:00- Plaza. Actuación musical “ARTISTAS DEL GREMIO”.02:00- DJa txoznetan – kirol-pistak / 02:00- DJ en las Txoznas –pistas deportivas",LaBastida
